项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
,,3,,,遥信点号,0x01001A00,0x01001AFF,16783872,16784127,6656,6911,256,16783903,1001A1F
,,,,,遥测点号,0x02001A00,0x02001AFF,33561088,33561343,6656,6911,256,33561119,2001A1F
,,,,,遥文点号,0x03000680,0x030006BF,50333312,50333375,1664,1727,64,50333319,3000687
,,4,,,遥信点号,0x01001B00,0x01001BFF,16784128,16784383,6912,7167,256,16784159,1001B1F
,,,,,遥测点号,0x02001B00,0x02001BFF,33561344,33561599,6912,7167,256,33561375,2001B1F
,,,,,遥文点号,0x030006C0,0x030006FF,50333376,50333439,1728,1791,64,50333383,30006C7
,,5,,,遥信点号,0x01001C00,0x01001CFF,16784384,16784639,7168,7423,256,16784415,1001C1F
,,,,,遥测点号,0x02001C00,0x02001CFF,33561600,33561855,7168,7423,256,33561631,2001C1F
,,,,,遥文点号,0x03000700,0x0300073F,50333440,50333503,1792,1855,64,50333447,3000707
,,合计,,,遥信数量,1280,遥测数量,1280,遥文数量,320,,,,
,总计,,,,遥信数量,5120,遥测数量,5120,遥文数量,1280,,,,
,采样机,1,入炉采样,入炉采样机1#,遥信点号,0x01001D00,0x01001DFF,16784640,16784895,7424,7679,256,16784671,1001D1F
,,,,,遥测点号,0x02001D00,0x02001DFF,33561856,33562111,7424,7679,256,33561887,2001D1F
,,,,,遥文点号,0x03000740,0x0300077F,50333504,50333567,1856,1919,64,50333511,3000747
,,2,入炉采样,入炉采样机2#,遥信点号,0x01001E00,0x01001EFF,16784896,16785151,7680,7935,256,16784927,1001E1F
,,,,,遥测点号,0x02001E00,0x02001EFF,33562112,33562367,7680,7935,256,33562143,2001E1F
,,,,,遥文点号,0x03000780,0x030007BF,50333568,50333631,1920,1983,64,50333575,3000787
,,3,火车采样,火车采样机1#,遥信点号,0x01001F00,0x01001FFF,16785152,16785407,7936,8191,256,16785183,1001F1F
,,,,,遥测点号,0x02001F00,0x02001FFF,33562368,33562623,7936,8191,256,33562399,2001F1F
